index,LOC,ZC,CITY,BOUROUGHS_STATE,LAT,LONG,num_calls
64,Club/Bar/Restaurant,10014,NEW YORK,"MANHATTAN, NY",40.73249706,-74.00183297,217
65,Club/Bar/Restaurant,10475,BRONX,"BRONX, NY",40.88228797,-73.82769936,10
66,Club/Bar/Restaurant,10017,NEW YORK,"MANHATTAN, NY",40.75524246,-73.97327568,16
67,Club/Bar/Restaurant,11215,,"BROOKLYN, NY",40.65972716,-73.98791847,93
68,Club/Bar/Restaurant,11693,FAR ROCKAWAY,"QUEENS, NY",40.58485012,-73.81903413,106
69,Club/Bar/Restaurant,11207,,"BROOKLYN, NY",40.69161916,-73.90573918,117
70,Club/Bar/Restaurant,10036,NEW YORK,"MANHATTAN, NY",40.76035852,-73.98928635,42
71,Club/Bar/Restaurant,11211,,"BROOKLYN, NY",40.71696661,-73.95482851,36
72,Club/Bar/Restaurant,10002,NEW YORK,"MANHATTAN, NY",40.72306557,-73.98907949,98
73,Club/Bar/Restaurant,10029,NEW YORK,"MANHATTAN, NY",40.79585513,-73.93552852,148
74,Club/Bar/Restaurant,10013,NEW YORK,"MANHATTAN, NY",40.71957476,-73.99950577,10
75,Club/Bar/Restaurant,11209,,"BROOKLYN, NY",40.62084753,-74.02677137,25
76,Club/Bar/Restaurant,10009,NEW YORK,"MANHATTAN, NY",40.72483716,-73.97832075,127
77,Club/Bar/Restaurant,10456,BRONX,"BRONX, NY",40.8384769,-73.91310235,65
78,Club/Bar/Restaurant,11106,ASTORIA,"QUEENS, NY",40.75618226,-73.93008771,18
79,Club/Bar/Restaurant,11222,,"BROOKLYN, NY",40.72979695,-73.95838458,93
80,Club/Bar/Restaurant,11209,,"BROOKLYN, NY",40.62075694,-74.02683617,143
81,Club/Bar/Restaurant,11106,ASTORIA,"QUEENS, NY",40.76331469,-73.92819586,267
82,Club/Bar/Restaurant,11249,,"BROOKLYN, NY",40.71795041,-73.95792662,64
83,Club/Bar/Restaurant,11249,,"BROOKLYN, NY",40.7111325,-73.96654457,70
84,Club/Bar/Restaurant,11377,WOODSIDE,"QUEENS, NY",40.75256615,-73.90524869,45
85,Club/Bar/Restaurant,10011,NEW YORK,"MANHATTAN, NY",40.74294904,-73.99646701,85
86,Club/Bar/Restaurant,10003,NEW YORK,"MANHATTAN, NY",40.73234787,-73.98493936,41
87,Club/Bar/Restaurant,10013,NEW YORK,"MANHATTAN, NY",40.71992609,-74.0002886,55
88,Club/Bar/Restaurant,11420,SOUTH OZONE PARK,"QUEENS, NY",40.67596498,-73.81819204,95
89,Club/Bar/Restaurant,11218,,"BROOKLYN, NY",40.63597511,-73.97814065,183
90,Club/Bar/Restaurant,11369,EAST ELMHURST,"QUEENS, NY",40.76349768,-73.87813729,59
91,Club/Bar/Restaurant,11211,,"BROOKLYN, NY",40.71175719,-73.94278797,27
92,Club/Bar/Restaurant,10010,NEW YORK,"MANHATTAN, NY",40.74091496,-73.99208259,40
93,Club/Bar/Restaurant,10018,NEW YORK,"MANHATTAN, NY",40.75007365,-73.98636819,30
94,Club/Bar/Restaurant,10028,NEW YORK,"MANHATTAN, NY",40.77756088,-73.95102149,22
95,Club/Bar/Restaurant,10002,NEW YORK,"MANHATTAN, NY",40.72114459,-73.99370114,87
96,Club/Bar/Restaurant,10018,NEW YORK,"MANHATTAN, NY",40.75612923,-73.994297,16
97,Club/Bar/Restaurant,10019,NEW YORK,"MANHATTAN, NY",40.76579016,-73.98728192,60
98,Club/Bar/Restaurant,10016,NEW YORK,"MANHATTAN, NY",40.74934479,-73.9769377,48
99,Club/Bar/Restaurant,10014,NEW YORK,"MANHATTAN, NY",40.7327221,-74.00327627,31
